Date,Time,Session,Perfect Lap
7/30/23,8:53,Qual A,39.885
7/30/23,9:23,Qual B,40.046
7/30/23,9:56,SWS Race 1,39.738
7/30/23,10:36,SWS Race 2,39.593
6/25/23,8:53,Qual A,40.322
6/25/23,9:23,Qual B,40.387
6/25/23,9:56,SWS Race 1,40.054
6/25/23,10:36,SWS Race 2,40.143
5/28/23,8:53,Qual A,40.477
5/28/23,9:23,Qual B,40.061
5/28/23,9:56,SWS Race 1,39.988
5/28/23,10:36,SWS Race 2,39.9
4/30/23,9:56,SWS Race 1,38.821
4/30/23,10:36,SWS Race 2,39.271
11/27/22,8:52,Qual A,39.348
11/27/22,9:48,SWS Race 1,38.691
11/27/22,10:27,SWS Race 2,38.598
